Revelation of Saint John the Divine	said unto,18.99;unto moses,13.29;spake unto,13.11;unto them,11.31;burnt offering,11.08;lord spake,10.73;sin offering,9.84;meat offering,9.55;lord said,8.82;moses saying,8.75;lord commanded,8.49;round about,8.36;years old,8.23;say unto,8.11;speak unto,7.91;shalt make,7.90;god hath,7.80;seven days,7.52;lord hath,7.45;first year,7.33	children of israel,19.20;lord thy god,15.58;unto the lord,15.24;before the lord,12.73;land of egypt,11.53;the lord spake,10.94;lord spake unto,10.77;spake unto moses,10.49;came to pass,10.25;the lord said,9.76;lord your god,9.05;lord said unto,9.04;unto moses saying,8.83;the lord commanded,8.70;am the lord,8.53;unto the children,8.22;said unto him,8.17;thou shalt make,8.06;the lord hath,7.95;said unto moses,7.93	the lord spake unto,10.77;lord spake unto moses,10.25;the lord said unto,9.05;spake unto moses saying,8.77;lord said unto moses,7.28;the lord commanded moses,7.14;offering made by fire,5.92;lord commanded moses and,5.92;lord thy god hath,5.83;and moses said unto,5.83;speak unto the children,5.66;offering unto the lord,5.66;fire unto the lord,5.38;years old and upward,5.29;made by fire unto,5.29;lord thy god giveth,5.29;flour mingled with oil,4.80;sacrifice of peace offerings,4.80;a sweet savour unto,4.80;sweet savour unto the,4.8
Joshua	said unto,7.13;unto them,4.58;unto joshua,4.49;went up,4.41;half tribe,4.10;lord god,4.04;spake unto,3.91;joshua said,3.84;side jordan,3.83;even unto,3.81;went out,3.75;one 12,3.73;other side,3.73;border went,3.69;passed over,3.59;they had,3.56;lord commanded,3.49;lord said,3.37;hath given,3.31;villages 15,3.29	children of israel,8.36;came to pass,5.38;lord your god,5.29;tribe of manasseh,4.47;lord god of,4.11;the lord god,4.10;children of reuben,4.00;one the king,3.99;half tribe of,3.87;the half tribe,3.87;god of israel,3.86;and joshua said,3.86;unto this day,3.74;the other side,3.74;said unto joshua,3.74;children of gad,3.74;children of judah,3.74;moses the servant,3.60;the border went,3.60;the lord commanded,3.59	half tribe of manasseh,3.74;lord god of israel,3.74;the lord said unto,3.46;and joshua said unto,3.32;the other side jordan,3.16;lord said unto joshua,3.00;her suburbs four cities,2.83;lord your god hath,2.65;suburbs four cities and,2.45;four cities and out,2.45;the border went up,2.45;joshua said unto the,2.45;the goings out thereof,2.24;the lord commanded moses,2.24;said unto the people,2.24;trumpets of rams’ horns,2.00;seven trumpets of rams’,2.00;fought against it 10,2.00;mighty men of valour,2.00;goings out thereof were,2.0
Judges	said unto,10.80;unto them,5.64;thousand men,4.54;they said,4.16;went up,3.87;rose up,3.72;went out,3.71;judged israel,3.57;lord said,3.48;came up,3.45;we may,3.44;hundred men,3.41;them into,3.40;mount ephraim,3.31;fight against,3.30;went down,3.22;go up,3.21;father’s house,2.99;young man,2.98;lord god,2.97	children of israel,7.80;said unto him,6.70;children of ammon,5.19;came to pass,5.10;said unto them,4.68;he said unto,4.68;and said unto,4.52;unto the lord,4.42;children of benjamin,4.36;men of israel,4.23;the lord said,3.96;men of shechem,3.74;said unto her,3.60;said unto the,3.52;lord said unto,3.45;and they said,3.41;zebah and zalmunna,3.32;against the children,3.30;into the hand,3.16;that we may,3.00	the lord said unto,3.46;and they said unto,2.83;children of israel did,2.65;lord god of israel,2.65;he said unto them,2.65;of israel did evil,2.45;children of israel cried,2.45;of israel cried unto,2.45;cried unto the lord,2.45;israel cried unto the,2.45;and samson said unto,2.45;drive out the inhabitants,2.24;them into the hand,2.24;children of israel went,2.24;lord said unto him,2.24;they said unto him,2.24;and gideon said unto,2.24;and she said unto,2.24;put themselves in array,2.00;thousand men that drew,2.0
Ruth	said unto,4.29;she said,2.53;young men,2.23;she had,2.16;then she,2.12;naomi said,2.08;two sons,1.99;she went,1.89;then said,1.88;they came,1.67;so she,1.65;she came,1.58;said boaz,1.55;six measures,1.41;take knowledge,1.41;set over,1.41;turn again,1.41;cannot redeem,1.41;lifted up,1.41;raise up,1.41	mother in law,3.16;said unto her,3.16;country of moab,2.65;and she said,2.43;ruth the moabitess,2.24;and naomi said,2.23;daughter in law,2.00;naomi said unto,2.00;came to pass,1.73;daughters in law,1.73;two sons and,1.73;then said boaz,1.73;she said unto,1.72;and she went,1.72;said unto the,1.70;and said unto,1.70;lifted up their,1.41;up their voice,1.41;was set over,1.41;off his shoe,1.41	and naomi said unto,2.00;naomi said unto her,1.73;and she said unto,1.73;lifted up their voice,1.41;they lifted up their,1.41;dead upon his inheritance,1.41;turn again my daughters,1.41;six measures of barley,1.41;set over the reapers,1.41;raise up the name,1.41;went into the city,1.41;two daughters in law,1.41;and they lifted up,1.41;they came to bethlehem,1.41;mother in law then,1.41;her husband then she,1.41;she had gleaned and,1.41;ruth the moabitess said,1.41;mother in law said,1.41;then said boaz unto,1.4
First Book of the Kings	said unto,10.26;saul said,5.59;david said,4.73;then said,4.70;samuel said,4.56;lord hath,4.45;young men,3.85;went out,3.76;went up,3.65;cut off,3.46;so david,3.36;unto saul,3.31;they had,3.28;they went,3.22;lord liveth,3.09;over israel,3.08;father’s house,2.99;they came,2.97;hundred men,2.97;king over,2.95	came to pass,5.83;unto the lord,5.60;said unto him,5.47;and saul said,5.33;and david said,5.04;the lord hath,4.56;and samuel said,4.55;before the lord,4.34;god of israel,4.12;men of israel,3.99;saul said unto,3.86;ark of god,3.74;he said unto,3.73;said unto the,3.66;david said unto,3.59;and said unto,3.52;children of israel,3.46;samuel said unto,3.46;the lord said,3.37;the lord liveth,3.16	and saul said unto,3.46;and david said unto,3.46;and samuel said unto,3.16;lord god of israel,2.83;the lord said unto,2.45;king’s son in law,2.24;had made an end,2.00;forth mine hand against,2.00;evil spirit from god,2.00;cried unto the lord,2.00;sacrifice unto the lord,2.00;saul said to david,2.00;the people said unto,2.00;samuel said unto the,2.00;saul said unto the,2.00;stretch forth mine hand,1.73;philistines gathered themselves together,1.73;eli hophni and phinehas,1.73;passed through the land,1.73;sons of eli hophni,1.7
Second Book of the Kings	said unto,9.59;king said,5.43;david said,4.92;then said,3.87;over jordan,3.72;o lord,3.54;unto david,3.44;david sent,3.43;went out,3.36;lord hath,3.35;king david,3.34;went up,3.22;over israel,3.18;young man,3.14;pass after,3.14;they came,3.09;king over,3.01;passed over,2.99;king’s sons,2.98;mighty men,2.98	the king said,5.88;lord the king,5.44;said unto him,5.38;came to pass,5.10;and david said,4.95;unto the king,4.95;said unto the,4.85;king said unto,4.46;children of ammon,4.12;david said unto,3.99;and said unto,3.81;men of israel,3.74;house of saul,3.46;the lord hath,3.46;ark of god,3.32;men of judah,3.31;unto the lord,3.26;to pass after,3.16;before the lord,3.15;son of zeruiah,3.00	the king said unto,4.47;said unto the king,3.87;and david said unto,3.46;came to pass after,3.16;king said unto him,2.65;david said unto him,2.24;david said unto the,2.23;dan even to beersheba,2.00;my lord o king,2.00;the young man absalom,2.00;under the fifth rib,1.73;would not hearken unto,1.73;that rose up against,1.73;them that rose up,1.73;young man that told,1.73;passed over jordan and,1.73;the lord hath avenged,1.73;sent messengers to david,1.73;hushai said unto absalom,1.73;anointed david king over,1.7
Third Book of the Kings	said unto,8.14;king solomon,5.65;lord god,4.56;round about,3.99;over israel,3.88;people israel,3.83;spake unto,3.50;high places,3.46;solomon had,3.30;went up,3.26;unto them,3.11;she said,3.07;son reigned,2.94;went out,2.92;asa king,2.91;had made,2.89;lord came,2.88;lord hath,2.86;there came,2.83;four hundred,2.82	came to pass,6.32;king of israel,6.15;said unto him,5.83;children of israel,4.58;lord god of,4.46;man of god,4.36;the lord god,4.34;god of israel,4.23;king of judah,3.99;he said unto,3.86;david my father,3.74;saith the lord,3.60;unto the king,3.53;david his father,3.46;son of jehoiada,3.46;benaiah the son,3.46;and said unto,3.41;they not written,3.32;the lord came,3.28;lord the king,3.24	lord god of israel,4.00;asa king of judah,3.00;year of asa king,2.83;the lord said unto,2.64;came to pass after,2.45;made israel to sin,2.45;king of israel said,2.45;there was war between,2.24;sit upon my throne,2.24;to reign over israel,2.24;and elijah said unto,2.24;of israel said unto,2.24;the king said unto,2.24;bread nor drink water,2.00;heaven thy dwelling place,2.00;three looking toward the,2.00;servant david my father,2.00;build an house unto,2.00;o lord my god,2.00;reign over israel in,2.0
Fourth Book of the Kings	said unto,8.21;high places,4.89;unto them,4.40;went up,4.04;years old,3.99;had made,3.93;son reigned,3.93;went out,3.65;mother’s name,3.60;made israel,3.47;king’s house,3.41;over israel,3.39;lord god,3.31;elisha said,3.31;lord hath,3.31;had done,3.13;go up,3.10;there came,3.01;round about,3.00;reign over,2.98	king of judah,6.62;king of israel,6.54;king of assyria,6.48;came to pass,6.00;man of god,6.00;began to reign,5.10;said unto him,5.09;saith the lord,4.99;the high places,4.69;king of syria,4.69;king of babylon,4.69;kings of israel,4.47;and said unto,4.33;they not written,4.24;into the house,4.23;kings of judah,4.12;said unto them,4.12;his son reigned,4.00;son reigned in,4.00;jeroboam the son,3.87	made israel to sin,3.32;lord god of israel,3.16;nebat who made israel,3.00;hazael king of syria,3.00;over israel in samaria,2.65;and elisha said unto,2.65;and said unto them,2.65;nebuchadnezzar king of babylon,2.45;reign over israel in,2.45;to reign over israel,2.45;amaziah king of judah,2.45;king of judah began,2.45;that they may eat,2.24;brought into the house,2.24;them into the hand,2.24;saith the lord god,2.24;king of babylon came,2.24;pass through the fire,2.00;shut the door upon,2.00;began to reign over,2.0
First Book of the Chronicles	twelve 25,4.35;david said,4.26;mighty men,4.11;four thousand,4.09;lord god,3.89;said unto,3.81;half tribe,3.31;suburbs 6,3.29;o lord,3.12;thousand talents,2.99;then david,2.89;round about,2.83;two hundred,2.81;people israel,2.74;over israel,2.70;she bare,2.64;king over,2.57;thousand men,2.56;so david,2.54;king david,2.45	brethren were twelve,4.69;were twelve 25,4.36;unto the lord,3.98;and four thousand,3.87;children of ammon,3.74;twenty and four,3.74;men of valour,3.60;house of god,3.59;the lord god,3.58;course were twenty,3.46;tribe of manasseh,3.46;and david said,3.45;god of israel,3.45;the half tribe,3.32;mighty men of,3.32;ark of god,3.31;sons of merari,3.31;lord god of,3.30;her suburbs 6,3.16;half tribe of,3.16	brethren were twelve 25,4.24;twenty and four thousand,3.74;mighty men of valour,3.32;half tribe of manasseh,3.16;lord god of israel,3.00;bring up the ark,2.00;thousand and seven hundred,2.00;and david said unto,2.00;hadarezer king of zobah,1.73;their fathers mighty men,1.73;over my people israel,1.73;sons of merari mahli,1.73;king over all israel,1.73;fathers mighty men of,1.73;thousand and six hundred,1.73;son shimei his son,1.73;give unto the lord,1.73;israel and david said,1.73;like a weaver’s beam,1.41;are these azrikam bocheru,1.4
Second Book of the Chronicles	lord god,7.35;said unto,5.79;burnt offerings,5.18;unto them,5.01;years old,4.99;had made,4.45;two hundred,4.42;six hundred,4.10;three hundred,3.95;high places,3.87;carried away,3.73;they had,3.61;they buried,3.42;went up,3.41;son reigned,3.41;they brought,3.39;o lord,3.39;burnt offering,3.31;four hundred,3.30;go up,3.27	lord god of,7.32;the lord god,7.16;house of god,6.98;unto the lord,6.51;king of israel,5.98;god of israel,5.90;children of israel,5.18;king of judah,4.78;judah and jerusalem,4.57;began to reign,4.36;came to pass,4.36;and said unto,4.35;said unto them,4.00;years old when,3.87;years in jerusalem,3.87;king of persia,3.87;into the house,3.86;city of david,3.74;cities of judah,3.74;lord his god,3.73	lord god of israel,5.20;unto the lord god,3.32;and said unto them,3.16;cyrus king of persia,3.00;mighty men of valour,2.83;thousand and six hundred,2.45;fathers and they buried,2.45;david king of israel,2.45;mercy endureth for ever,2.24;feast of unleavened bread,2.24;had been carried away,2.24;mother’s name also was,2.24;his mother’s name also,2.24;jerusalem his mother’s name,2.24;hundred twenty and three,2.24;o lord god of,2.24;seek the lord god,2.24;king of israel said,2.24;five years old when,2.00;twenty years old when,2.0
